student_id,logins_per_week,avg_quiz_score,assignments_submitted,time_spent_hours,discussion_posts,completion_status
1,6,48.35988726435254,1,27.879498229682543,0,0
2,3,76.26504275666903,9,11.025245909113858,0,1
3,12,72.3904654781004,2,17.208469929136946,4,1
4,14,52.183673484086164,0,20.15316585344865,5,0
5,10,96.57121423347886,7,5.149870224347461,4,1
6,7,75.93192798931216,2,22.07806460929395,5,0
7,12,81.68709598238227,9,18.580761601049126,5,1
8,4,92.82807034091546,6,32.48015146301589,6,1
9,6,77.4612428880276,9,39.16022541266229,7,1
10,9,57.73802115026284,4,23.128191468418212,3,0
11,2,46.329655589816234,9,14.26208275454818,5,1
12,6,67.39207422897462,4,3.649229765330565,2,1
13,10,53.10642623301001,6,37.13644654849665,5,0
14,10,64.99059687222197,8,36.926397180589056,5,1
15,7,92.9968155351321,4,11.613626383591162,5,1
16,4,59.46070126031644,0,28.425622678052605,6,0
17,3,47.3252772820404,9,4.866512789411232,7,1
18,7,61.377870284618496,9,8.31618641255161,6,1
19,7,94.40970649274524,0,10.238746050286666,0,1
20,2,56.32793496307812,1,13.190769979898334,6,0
21,5,78.86140723248174,5,39.84159225111608,2,1
22,4,40.031222619718946,8,28.48315212282496,2,1
23,1,61.154131380050146,7,16.599669592410358,6,0
24,7,58.286875489481744,4,30.009826822034732,7,1
25,11,49.87935118857651,0,36.779664983426045,4,0
26,13,72.04536516252651,6,38.43069148149816,3,0
27,5,69.08979828153899,4,4.198828114792881,7,1
28,1,81.54616197341622,5,16.991828347108935,6,0
29,11,56.16474002791129,6,6.056730505563607,5,1
30,4,54.64753133486645,2,14.755082462284602,1,0
31,0,50.097462530375836,9,8.44783634803149,3,1
32,11,53.12585317438422,2,26.580237743411505,3,1
33,9,73.48612012104047,4,16.754198591615143,2,1
34,5,64.23017026348245,5,10.717000336788088,3,1
35,12,43.8935348265389,8,12.10564114864108,6,1
36,11,55.234924836060685,4,15.693113617800194,5,0
37,8,54.812563770316075,0,11.878094788461983,5,0
38,0,81.77825637038731,3,19.223152179495578,0,0
39,10,82.73623539546652,4,3.2280061421667177,5,0
40,10,48.885215797204,9,12.631013272419937,7,1
41,14,99.86442910293651,9,17.625855393143077,5,1
42,9,56.0068608565171,4,24.905711516885344,2,1
43,11,98.59689734995916,6,12.296390415574935,5,1
44,11,64.66222079909387,3,7.061034758502489,0,0
45,14,41.9830439740329,0,4.895614424768199,1,0
46,13,60.70427488160098,4,37.74020943114457,6,1
47,13,78.06108068208184,6,17.83228419406221,2,0
48,14,80.842327093286,9,24.084179604871398,7,1
49,13,71.85607499902818,9,36.92870896975126,1,1
50,2,66.8669898743855,5,5.144439961341633,2,1
51,11,73.17358534427967,4,35.31313646518012,4,1
52,6,75.56180343276361,3,22.96033915667466,3,0
53,3,44.851199579962916,1,8.263701923206035,4,0
54,8,62.17926736368427,3,17.627694430244023,5,0
55,2,54.52959629664555,9,31.54888678193857,1,1
56,4,88.18838538279375,9,20.25406311092148,5,1
57,2,68.2180380667623,2,39.440869925289164,3,0
58,6,99.00538845369059,9,16.31608085764175,2,0
59,4,63.92946654667318,0,30.48397539909074,3,0
60,8,88.98591239316303,7,16.933599061196645,0,0
61,6,87.90070749907306,4,33.50824038684755,3,0
62,1,49.04305263792577,3,23.62509582829841,0,0
63,3,70.49192660444312,7,4.413449524420051,3,0
64,8,81.74876840745291,6,3.3992309701676726,6,0
65,11,91.50152828882318,1,7.086380514424061,0,0
66,13,59.557534312113084,0,2.5195346634258966,1,0
67,1,53.2144628539329,3,4.863644293393568,5,0
68,9,82.66897194628106,7,28.285147092418658,7,1
69,8,88.57006276838293,1,22.305158451119595,5,0
70,9,60.91995923750376,2,30.496608479858928,4,0
71,4,45.770593065485244,0,36.70029858579043,5,0
72,1,96.43139586937625,0,24.235682228367935,2,0
73,3,63.85432126525134,2,29.592592074730227,6,0
74,11,71.0650810316488,4,30.769085677613322,3,0
75,14,90.26260635443967,2,16.358320872479887,4,0
76,11,80.54140702235685,0,11.16122362852601,2,0
77,6,84.11296715444632,0,9.791722483247947,2,1
78,11,52.54429724426282,7,11.554812701448341,0,0
79,12,72.48687842965396,9,12.439808286984533,5,1
80,7,81.74706396070493,1,9.874650662306145,1,0
81,14,53.71300130783798,2,35.37238536420931,7,0
82,2,50.49729562575617,1,30.76596702254469,1,0
83,13,98.93010059976613,2,3.782065776066357,4,1
84,0,70.99815347626085,6,12.209554316961679,6,1
85,3,55.64975048982454,0,2.843020197151462,1,0
86,1,99.77522198547547,9,20.930277092543932,3,1
87,7,97.92516107732762,7,20.096006477982538,1,1
88,3,73.49760721642585,9,33.592116622375045,4,1
89,1,92.95818059136039,9,13.695535111299879,7,1
90,13,51.32242650048276,9,33.02265793809637,1,1
91,5,56.73228115553091,1,38.78300308671328,3,0
92,5,82.02146979836627,2,5.35951248789457,0,0
93,9,90.79966853429835,8,32.089077899846046,6,1
94,3,91.37945751268555,6,24.418324091230172,4,1
95,5,64.2704876273314,3,20.241746746702056,0,1
96,12,93.26620592565759,9,17.98035958927285,0,1
97,14,91.05570692605076,4,31.81739402988376,0,1
98,1,96.13809965325686,1,26.29573156502121,2,0
99,9,87.12043906683661,7,32.591697365735754,6,0
100,11,80.13929528285371,3,36.3197402297118,7,1
101,1,74.84119728618728,8,25.456021059697097,5,1
102,9,62.33696599370458,4,39.25758355351036,6,0
103,13,96.4080065474667,8,25.107338282591638,2,0
104,3,98.41983020531904,3,26.192484221646737,5,1
105,13,57.03525848424794,9,23.082993124604574,6,1
106,14,58.3218316206636,4,5.45807945995055,0,0
107,14,69.13682521517359,8,29.603087240708675,4,1
108,7,66.90544857917484,7,22.802959662166238,5,1
109,13,99.66744775664924,2,19.13459700181197,3,1
110,6,50.555515160640724,0,36.597908579324375,3,0
111,11,41.08452181693125,2,13.322459158594118,1,0
112,8,69.63362291100609,3,21.896886488570424,5,0
113,13,50.72936255327973,1,28.510391116751606,4,0
114,7,61.988127074971594,0,32.26592747560734,7,0
115,4,84.65023138339373,6,19.45517870195455,2,1
116,12,83.25639545512776,7,33.99947377071096,0,1
117,1,58.48364751114335,6,31.218874169985103,1,0
118,14,72.55241383329397,4,4.516967158370902,3,1
119,4,70.52884461032559,0,3.742728123376052,2,0
120,7,78.17995709115372,6,25.59061600803947,2,1
121,9,55.027709116335046,6,15.20170951256574,0,0
122,8,75.39225085363263,8,9.946970060983539,7,1
123,11,98.73357149650055,2,24.02669750992606,7,1
124,11,69.20452917756731,8,14.979401997348711,5,1
125,11,94.36592726311324,0,22.416009835134663,3,1
126,12,66.06366193062573,0,19.484528041375736,7,0
127,8,61.00470446168054,3,24.22111202606784,4,1
128,12,78.70620172183389,8,17.211418578590692,7,1
129,14,80.13544357978597,5,28.511367800483406,2,1
130,12,91.8500539043142,2,8.842556349273345,0,0
131,0,53.811116094493315,0,28.467055716629,4,0
132,8,69.95160279308514,3,17.643126145586066,5,0
133,6,74.32025195255099,8,35.22406898446785,3,0
134,8,86.11324085837853,2,21.578970084840012,5,0
135,7,42.616226305266025,8,38.978193272263965,2,1
136,0,99.67303064784046,6,24.87354503055649,4,0
137,11,68.19667083945657,3,10.506264504440182,4,1
138,7,56.77362050780552,2,33.22804420008907,4,1
139,7,93.00964133597554,9,15.113139857250696,2,0
140,14,84.86312643384483,4,15.209530150341973,2,0
141,10,97.1843108214372,4,3.208577896436275,5,0
142,2,59.84501828023082,2,22.851181749881526,1,1
143,0,73.1658980101294,8,22.308093141835876,5,1
144,7,74.3375481502503,3,15.527676402335473,3,1
145,2,98.81989502296274,4,35.98025599004518,0,0
146,2,44.52077536036769,3,6.892439135386469,4,0
147,0,58.34182115723091,4,14.543781505785905,1,0
148,10,51.45466186902076,6,14.220145057841101,0,1
149,4,56.10849141340941,8,5.507042276692351,1,0
150,9,69.11679245657893,6,20.28352497413914,7,1
151,6,62.361212025642956,4,28.135819249651156,7,1
152,9,63.68148800856834,9,21.442966514795927,6,1
153,8,90.65278844357869,9,7.9651519432153615,7,1
154,11,95.80101008864992,6,16.336866679198756,5,1
155,6,44.22496785097263,9,2.0986109265785693,7,0
156,8,52.53512305692161,4,34.9954420673523,2,1
157,7,80.26861100944303,2,5.211646291865914,4,0
158,11,61.51880687776983,6,24.696567125706363,5,1
159,1,55.24981894418433,1,39.47776584293898,0,0
160,0,57.71743530513632,8,22.390444547518637,6,1
161,6,59.35304585431603,9,37.11358684608246,6,1
162,6,90.92018769548046,9,10.972428258461365,6,1
163,13,48.19727988652173,0,30.878305539628254,0,0
164,7,82.53465981460712,5,22.188098650994295,0,0
165,4,73.16919861447447,6,29.379610332875664,0,0
166,2,57.79060861886791,7,4.368971775427175,0,0
167,11,65.1868513867766,9,7.614085492436614,6,1
168,7,55.37241661566748,8,7.058443286324174,6,1
169,5,76.69082265194083,1,28.112289205326583,1,0
170,10,44.895650824014425,9,34.088745560077896,5,1
171,2,40.311091766439205,1,30.48541681632632,4,0
172,0,77.67366489691815,4,3.157941803876578,7,0
173,2,51.65643721072254,4,34.95416928083949,7,0
174,4,44.256455019995656,5,15.457573490138767,2,0
175,14,63.807029632833306,2,17.092225635155135,6,0
176,13,43.046111862363816,7,5.985028328234274,2,1
177,2,93.19702893703959,0,30.021397831565125,5,0
178,0,41.65700631242228,5,8.926787382086406,5,0
179,4,74.73189373045352,3,23.430673496715784,2,0
180,9,66.30844738108522,0,33.94697946336139,6,1
181,6,80.32156811771196,6,5.389764491058135,2,0
182,14,59.68916004848391,8,22.342751432589893,7,1
183,13,49.302497003664655,3,10.862223638892447,1,1
184,6,98.91045329863186,3,15.03122084257389,7,0
185,10,90.3360101241618,5,20.010857774361135,3,0
186,8,91.62427709870052,2,15.49396352461358,6,1
187,14,55.01508163095184,5,26.655267931079887,6,1
188,14,42.33008406576539,6,20.224119866661507,4,0
189,9,58.19593088039337,9,24.19958041913843,0,1
190,9,72.22494563179933,9,29.99925406500669,3,1
191,11,59.59907450776245,2,23.19420610611662,5,1
192,12,89.67214022725531,6,24.288346517108845,6,1
193,2,56.29257494918451,2,23.44942461586037,2,0
194,14,97.91510982344619,1,16.393359786148995,3,1
195,6,67.43590969682371,9,14.822979687132888,4,1
196,0,90.52138450071888,3,36.18660109151047,5,0
197,3,51.66280203969238,7,25.087098447155768,0,0
198,12,64.68123430340071,8,11.285419907656872,0,1
199,3,81.97073264603162,6,20.933412518259725,4,0
200,13,48.30118554506808,0,14.553242288674731,4,0
